paper_id,paper,dataset_subset,task,split,label_definition,model,metric,published_value,our_compatible_value,comparison_category,direct_comparison_permitted,evidence_location,caveat
LIT-080,"Position: Quo Vadis, Unsupervised Time Series Anomaly Detection?",Unsupervised TSAD research practice,evaluation,NR,NR,"Critiques flawed metrics, inconsistent benchmark practices, and weak justification for deep architectural complexity.",NR,NR,NR,D,False,NR,"Position paper rather than a detector benchmark; conclusions should guide protocol, not replace evidence."
LIT-081,Optimal Detection of Changepoints With a Linear Computational Cost,General offline change-point detection,change-point/onset estimation,NR,NR,"Introduces PELT, an exact penalized segmentation algorithm with linear expected cost under stated conditions.",NR,NR,NR,D,False,NR,"Offline segmentation gives an estimated statistical change, not physical degradation ground truth."
LIT-082,Bayesian Online Changepoint Detection,Sequential probabilistic change detection,change-point/onset estimation,NR,NR,Maintains a posterior over run length to infer the most recent generative-parameter change online.,NR,NR,NR,D,False,NR,Requires a predictive model and hazard prior; estimated change remains model-dependent.
LIT-083,Selective Review of Offline Change Point Detection Methods,Multivariate offline change-point detection,change-point/onset estimation,NR,NR,"Organizes methods by cost function, search, and constraint; links theory to the ruptures implementation.",NR,NR,NR,D,False,NR,A broad review; method selection and calibration remain application-specific.
LIT-084,Change-Point Detection in Time-Series Data by Relative Density-Ratio Estimation,General time series,change-point/onset estimation,NR,NR,Estimates relative Pearson divergence directly between neighboring windows without separately estimating densities.,NR,NR,NR,D,False,NR,Window and regularization choices affect onset; not a true FD002 label.
LIT-085,Kernel Change-Point Detection,General multivariate sequences,change-point/onset estimation,NR,NR,Uses kernel representations and model selection to find distributional changes beyond mean shifts.,NR,NR,NR,D,False,NR,Computational and kernel-selection sensitivity; estimated changes are not physical labels.
LIT-086,Control Chart Tests Based on Geometric Moving Averages,Statistical process monitoring,dynamic threshold,NR,NR,Foundational exponentially/geometrically weighted moving-average monitoring for small process shifts.,NR,NR,NR,D,False,NR,Classical assumptions do not automatically hold for autocorrelated learned anomaly scores.
LIT-087,Continuous Inspection Schemes,Sequential quality control,dynamic threshold,NR,NR,Introduces cumulative-sum inspection logic for persistent sequential shifts.,NR,NR,NR,D,False,NR,CUSUM requires a declared in-control distribution and tuning for score dependence.
LIT-088,Learning from Time-Changing Data with Adaptive Windowing,Streaming concept drift,online drift,NR,NR,ADWIN adapts the window length from statistically detected changes rather than a fixed update horizon.,NR,NR,NR,D,False,NR,Blind adaptation can still learn degradation; detector updates need a healthy-state gate.
LIT-089,A Survey on Concept Drift Adaptation,Adaptive learning under drift,online drift,NR,NR,"Taxonomizes drift detection, adaptation strategies, evaluation, and application settings.",NR,NR,NR,D,False,NR,Concept drift is not identical to irreversible degradation and supervised framing often differs.
LIT-090,Why Should I Trust You?: Explaining the Predictions of Any Classifier,Model-agnostic local explanation,explainability,NR,NR,"Introduces LIME, fitting an interpretable local surrogate around an individual prediction.",NR,NR,NR,D,False,NR,"Local surrogate fidelity and perturbation design are crucial, especially for correlated sequences."
LIT-091,Axiomatic Attribution for Deep Networks,Deep neural networks,explainability,NR,NR,Introduces Integrated Gradients using sensitivity and implementation-invariance axioms.,NR,NR,NR,D,False,NR,"Attributions depend on the baseline and explain a scalar model output, not necessarily a causal fault."
LIT-092,Learning Important Features Through Propagating Activation Differences,Deep neural networks,explainability,NR,NR,DeepLIFT decomposes output differences from a reference activation into feature contributions.,NR,NR,NR,D,False,NR,Reference choice and network operation rules affect interpretation.
LIT-093,TimeSHAP: Explaining Recurrent Models through Sequence Perturbations,Recurrent sequence models,explainability,NR,NR,"Extends KernelSHAP to feature-, event-, and cell-level attributions with sequence pruning.",NR,NR,NR,D,False,NR,"Computational cost, perturbation realism, and correlated sensor-time inputs can weaken fidelity."
LIT-094,Explaining Anomalies Detected by Autoencoders Using SHAP,Autoencoder anomaly detection,explainability,NR,NR,Uses KernelSHAP around an autoencoder anomaly score to show features increasing or offsetting anomalousness.,NR,NR,NR,D,False,NR,Perturbations and surrogate fidelity must be validated; explanations are not root-cause proof.
LIT-095,Feature Bagging for Outlier Detection,High-dimensional outlier detection,ensemble,NR,NR,Combines outlier detectors trained on random feature subsets to improve robustness in noisy high dimensions.,NR,NR,NR,D,False,NR,Random sensor subsets may destroy important temporal/physical dependencies.
LIT-096,LSCP: Locally Selective Combination in Parallel Outlier Ensembles,General unsupervised outlier detection,ensemble,NR,NR,Selects locally competent base outlier detectors before combining their scores.,NR,NR,NR,D,False,NR,Competence estimation without ground truth adds complexity and possible overfitting.
LIT-097,SUOD: Accelerating Large-Scale Unsupervised Heterogeneous Outlier Detection,Large heterogeneous outlier ensembles,ensemble,NR,NR,"Accelerates many heterogeneous detectors using data reduction, model approximation, and balanced scheduling.",NR,NR,NR,D,False,NR,An acceleration system does not establish that an ensemble improves scientific validity.
LIT-098,Interpreting and Unifying Outlier Scores,General outlier scoring,score calibration,NR,NR,Maps heterogeneous arbitrary outlier factors to a common interpretable range before comparison or combination.,NR,NR,NR,D,False,NR,Probability-like normalization is model-based and not guaranteed to be calibrated probability.
LIT-099,Explainable Deep One-Class Classification,Image anomaly detection,explainability,NR,NR,FCDD makes a fully convolutional one-class output map serve directly as an anomaly explanation map.,NR,NR,NR,D,False,NR,Image-specific architecture; not directly applicable to 30-by-21 sensor sequences.
LIT-100,"On the Evaluation of Unsupervised Outlier Detection: Measures, Datasets, and an Empirical Study",Unsupervised outlier detection benchmarks,evaluation,NR,NR,"Studies evaluation measures, benchmark construction, contamination, and instability across many outlier detectors.",NR,NR,NR,D,False,NR,Mostly tabular outlier settings; temporal grouping and early warning require additional metrics.
